"","Year","StationID","SensorType","MeanValue","MeanValue2"
"1",2019,"BDL","EL COND",8079.80772113943,5.00925790296588
"2",2019,"BDL","TEMP W",61.420952023988,16.34497334666
"3",2019,"BDL","TURB W",31.3678335832084,31.3678335832084
"4",2019,"RVB","EL COND",130.65530161109,0.0679128140193751
"5",2019,"RVB","TEMP W",59.8152116897715,15.4528953832064
"6",2019,"RVB","TURB W",5.41223304608468,5.41223304608468
"7",2023,"BDL","EL COND",2289.75013192612,1.3105761810869
"8",2023,"BDL","TEMP W",69.456437994723,20.8091322192905
"9",2023,"BDL","TURB W",31.7569472295515,31.7569472295515
"10",2023,"RVB","EL COND",145.880179466878,0.0760227434011694
"11",2023,"RVB","TEMP W",68.3949590921087,20.2194217178382
"12",2023,"RVB","TURB W",4.64098178939034,4.64098178939034
"13",2024,"BDL","EL COND",2902.82278936017,1.68355873330195
"14",2024,"BDL","TEMP W",70.3023005032351,21.2790558351306
"15",2024,"BDL","TURB W",35.7172178289001,35.7172178289001
"16",2024,"RVB","EL COND",151.281092739037,0.0789011439426884
"17",2024,"RVB","TEMP W",69.0487059669303,20.5826144260724
"18",2024,"RVB","TURB W",3.45998562185478,3.45998562185478
