"","x"
"1","Americorophium spinicorne"
"2","Americorophium"
"3","Gammaridae"
"4","Gammarus daiberi"
"5","Gnorimosphaeroma"
"6","Munnidae"
"7","Ostracod"
"8","Cumacea"
"9","Tanaidacea"
"10","Hyalella"
"11","Chironomidae larvae"
"12","Chironomidae pupae"
"13","Hydroptilidae larvae"
"14","Naididae"
"15","Amphipod"
"16","Insect pupae"
"17","Cyclopoid copepodid"
"18","Crab zoea"
"19","Hydrachnidae"
"20","Trichoptera adult"
"21","No amphipod or insects"
"22","Turbellaria"
"23","Elmidae"
"24","Gastropoda"
"25","Hydroptilidae pupae"
"26","Polycentropodidae larvae"
"27","Leptoceridae larvae"
