"","smelt 2","smelt 20","smelt 22","smelt 23","smelt 24","smelt 25","smelt 26","smelt 3","smelt 32","smelt 6","smelt 8","smelt 9"
"smelt 2",0,44440.6238113019,5494.02015014925,0,0,0,0,52306.2786913589,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 20",44440.6238113019,0,43222.261187071,44440.6238113019,44440.6238113019,44440.6238113019,44440.6238113019,11498.858047687,44440.6238113019,8930.75316056854,26874.8447189992,25502.2326094754
"smelt 22",5494.02015014925,43222.261187071,0,5494.02015014926,5494.02015014926,5494.02015014926,5494.02015014926,51087.916067128,5494.02015014926,41573.3192666647,66605.5435249401,65232.9314154164
"smelt 23",0,44440.6238113019,5494.02015014926,0,0,0,0,52306.2786913589,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 24",0,44440.6238113019,5494.02015014926,0,0,0,0,52306.2786913589,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 25",0,44440.6238113019,5494.02015014926,0,0,0,0,52306.2786913589,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 26",0,44440.6238113019,5494.02015014926,0,0,0,0,52306.2786913589,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 3",52306.2786913589,11498.858047687,51087.916067128,52306.2786913589,52306.2786913589,52306.2786913589,52306.2786913589,0,52306.2786913588,20349.4456950625,15517.6274578121,14145.0153482884
"smelt 32",0,44440.6238113019,5494.02015014926,0,0,0,0,52306.2786913588,0,42791.6818908956,67823.906149171,66451.2940396473
"smelt 6",42791.6818908956,8930.75316056854,41573.3192666647,42791.6818908956,42791.6818908956,42791.6818908956,42791.6818908956,20349.4456950625,42791.6818908956,0,35725.4323663747,34352.820256851
"smelt 8",67823.906149171,26874.8447189992,66605.5435249401,67823.906149171,67823.906149171,67823.906149171,67823.906149171,15517.6274578121,67823.906149171,35725.4323663747,0,5723.85804768701
"smelt 9",66451.2940396473,25502.2326094754,65232.9314154164,66451.2940396473,66451.2940396473,66451.2940396473,66451.2940396473,14145.0153482884,66451.2940396473,34352.820256851,5723.85804768701,0
